epoch,qwk,curve,loss
1, 2.9474e-01,train,qwk
2, 5.8576e-01,train,qwk
3, 6.7366e-01,train,qwk
4, 7.0566e-01,train,qwk
5, 7.2366e-01,train,qwk
6, 7.3473e-01,train,qwk
7, 7.4808e-01,train,qwk
8, 7.5221e-01,train,qwk
9, 7.6100e-01,train,qwk
10, 7.6892e-01,train,qwk
11, 7.7124e-01,train,qwk
12, 7.8111e-01,train,qwk
13, 7.8539e-01,train,qwk
14, 7.8582e-01,train,qwk
15, 7.9108e-01,train,qwk
16, 7.9331e-01,train,qwk
17, 7.9718e-01,train,qwk
18, 7.9830e-01,train,qwk
19, 8.0275e-01,train,qwk
20, 8.0428e-01,train,qwk
21, 8.0800e-01,train,qwk
22, 8.1265e-01,train,qwk
23, 8.1535e-01,train,qwk
24, 8.1665e-01,train,qwk
25, 8.2291e-01,train,qwk
26, 8.2138e-01,train,qwk
27, 8.2241e-01,train,qwk
28, 8.2622e-01,train,qwk
29, 8.2810e-01,train,qwk
30, 8.2835e-01,train,qwk
31, 8.3053e-01,train,qwk
32, 8.3294e-01,train,qwk
33, 8.3665e-01,train,qwk
34, 8.3964e-01,train,qwk
35, 8.3719e-01,train,qwk
36, 8.3845e-01,train,qwk
37, 8.3933e-01,train,qwk
38, 8.4235e-01,train,qwk
39, 8.4553e-01,train,qwk
40, 8.4599e-01,train,qwk
41, 8.4528e-01,train,qwk
42, 8.5010e-01,train,qwk
43, 8.4905e-01,train,qwk
44, 8.5100e-01,train,qwk
45, 8.4946e-01,train,qwk
46, 8.5161e-01,train,qwk
47, 8.5423e-01,train,qwk
48, 8.5470e-01,train,qwk
49, 8.5774e-01,train,qwk
50, 8.5560e-01,train,qwk
51, 8.5871e-01,train,qwk
52, 8.5866e-01,train,qwk
53, 8.6067e-01,train,qwk
54, 8.6307e-01,train,qwk
55, 8.6089e-01,train,qwk
56, 8.6459e-01,train,qwk
57, 8.6439e-01,train,qwk
58, 8.6357e-01,train,qwk
59, 8.6760e-01,train,qwk
60, 8.6576e-01,train,qwk
61, 8.6498e-01,train,qwk
62, 8.6932e-01,train,qwk
63, 8.7180e-01,train,qwk
64, 8.7089e-01,train,qwk
65, 8.7269e-01,train,qwk
66, 8.7243e-01,train,qwk
67, 8.7149e-01,train,qwk
68, 8.7541e-01,train,qwk
69, 8.7421e-01,train,qwk
70, 8.7527e-01,train,qwk
71, 8.7541e-01,train,qwk
72, 8.7727e-01,train,qwk
73, 8.7638e-01,train,qwk
74, 8.7641e-01,train,qwk
75, 8.7887e-01,train,qwk
76, 8.7847e-01,train,qwk
77, 8.7867e-01,train,qwk
78, 8.7889e-01,train,qwk
79, 8.7943e-01,train,qwk
80, 8.8214e-01,train,qwk
81, 8.8195e-01,train,qwk
82, 8.8404e-01,train,qwk
83, 8.8487e-01,train,qwk
84, 8.8324e-01,train,qwk
85, 8.8388e-01,train,qwk
86, 8.8606e-01,train,qwk
87, 8.8549e-01,train,qwk
88, 8.8597e-01,train,qwk
89, 8.8850e-01,train,qwk
90, 8.8707e-01,train,qwk
91, 8.8871e-01,train,qwk
92, 8.8923e-01,train,qwk
93, 8.9006e-01,train,qwk
94, 8.8944e-01,train,qwk
95, 8.8826e-01,train,qwk
96, 8.9021e-01,train,qwk
97, 8.8929e-01,train,qwk
98, 8.9040e-01,train,qwk
99, 8.9050e-01,train,qwk
100, 8.9145e-01,train,qwk
1, 4.3376e-01,train,log
2, 6.4884e-01,train,log
3, 7.1396e-01,train,log
4, 7.4611e-01,train,log
5, 7.6605e-01,train,log
6, 7.8107e-01,train,log
7, 7.9723e-01,train,log
8, 8.1333e-01,train,log
9, 8.2588e-01,train,log
10, 8.3636e-01,train,log
11, 8.4676e-01,train,log
12, 8.5671e-01,train,log
13, 8.6455e-01,train,log
14, 8.7088e-01,train,log
15, 8.7641e-01,train,log
16, 8.8180e-01,train,log
17, 8.8612e-01,train,log
18, 8.8731e-01,train,log
19, 8.9254e-01,train,log
20, 8.9802e-01,train,log
21, 8.9731e-01,train,log
22, 9.0329e-01,train,log
23, 9.0640e-01,train,log
24, 9.0848e-01,train,log
25, 9.1286e-01,train,log
26, 9.1427e-01,train,log
27, 9.1598e-01,train,log
28, 9.1846e-01,train,log
29, 9.2029e-01,train,log
30, 9.2337e-01,train,log
31, 9.2484e-01,train,log
32, 9.2691e-01,train,log
33, 9.2979e-01,train,log
34, 9.3303e-01,train,log
35, 9.3499e-01,train,log
36, 9.3736e-01,train,log
37, 9.3841e-01,train,log
38, 9.3964e-01,train,log
39, 9.4089e-01,train,log
40, 9.4434e-01,train,log
41, 9.4390e-01,train,log
42, 9.4643e-01,train,log
43, 9.4713e-01,train,log
44, 9.4964e-01,train,log
45, 9.5095e-01,train,log
46, 9.5272e-01,train,log
47, 9.5224e-01,train,log
48, 9.5456e-01,train,log
49, 9.5555e-01,train,log
50, 9.5675e-01,train,log
51, 9.5877e-01,train,log
52, 9.5968e-01,train,log
53, 9.6028e-01,train,log
54, 9.6227e-01,train,log
55, 9.6155e-01,train,log
56, 9.6368e-01,train,log
57, 9.6402e-01,train,log
58, 9.6488e-01,train,log
59, 9.6481e-01,train,log
60, 9.6627e-01,train,log
61, 9.6775e-01,train,log
62, 9.6806e-01,train,log
63, 9.6920e-01,train,log
64, 9.7014e-01,train,log
65, 9.7027e-01,train,log
66, 9.7135e-01,train,log
67, 9.7135e-01,train,log
68, 9.7258e-01,train,log
69, 9.7248e-01,train,log
70, 9.7403e-01,train,log
71, 9.7434e-01,train,log
72, 9.7469e-01,train,log
73, 9.7478e-01,train,log
74, 9.7607e-01,train,log
75, 9.7581e-01,train,log
76, 9.7565e-01,train,log
77, 9.7712e-01,train,log
78, 9.7759e-01,train,log
79, 9.7796e-01,train,log
80, 9.7840e-01,train,log
81, 9.7859e-01,train,log
82, 9.7938e-01,train,log
83, 9.7934e-01,train,log
84, 9.7986e-01,train,log
85, 9.8073e-01,train,log
86, 9.8008e-01,train,log
87, 9.8064e-01,train,log
88, 9.8035e-01,train,log
89, 9.8095e-01,train,log
90, 9.8104e-01,train,log
91, 9.8199e-01,train,log
92, 9.8204e-01,train,log
93, 9.8275e-01,train,log
94, 9.8313e-01,train,log
95, 9.8316e-01,train,log
96, 9.8318e-01,train,log
97, 9.8420e-01,train,log
98, 9.8334e-01,train,log
99, 9.8439e-01,train,log
100, 9.8412e-01,train,log
1, 1.5867e-01,test,qwk
2, 3.8888e-01,test,qwk
3, 4.0631e-01,test,qwk
4, 4.3838e-01,test,qwk
5, 4.1724e-01,test,qwk
6, 5.2169e-01,test,qwk
7, 5.7039e-01,test,qwk
8, 4.6642e-01,test,qwk
9, 5.8684e-01,test,qwk
10, 5.5141e-01,test,qwk
11, 5.6613e-01,test,qwk
12, 5.8671e-01,test,qwk
13, 6.2218e-01,test,qwk
14, 5.8782e-01,test,qwk
15, 6.0444e-01,test,qwk
16, 5.9861e-01,test,qwk
17, 6.1118e-01,test,qwk
18, 5.8225e-01,test,qwk
19, 5.9006e-01,test,qwk
20, 5.9807e-01,test,qwk
21, 6.1784e-01,test,qwk
22, 6.1113e-01,test,qwk
23, 6.2354e-01,test,qwk
24, 5.8357e-01,test,qwk
25, 5.8904e-01,test,qwk
26, 6.0323e-01,test,qwk
27, 6.5626e-01,test,qwk
28, 6.6943e-01,test,qwk
29, 6.1004e-01,test,qwk
30, 6.4666e-01,test,qwk
31, 6.2673e-01,test,qwk
32, 6.2343e-01,test,qwk
33, 6.5068e-01,test,qwk
34, 6.3161e-01,test,qwk
35, 6.3260e-01,test,qwk
36, 6.8230e-01,test,qwk
37, 6.4922e-01,test,qwk
38, 6.2006e-01,test,qwk
39, 6.5713e-01,test,qwk
40, 6.7927e-01,test,qwk
41, 6.4135e-01,test,qwk
42, 6.4397e-01,test,qwk
43, 6.7535e-01,test,qwk
44, 6.4476e-01,test,qwk
45, 6.4070e-01,test,qwk
46, 6.8139e-01,test,qwk
47, 6.4234e-01,test,qwk
48, 6.5599e-01,test,qwk
49, 6.5097e-01,test,qwk
50, 6.8987e-01,test,qwk
51, 6.7526e-01,test,qwk
52, 6.4686e-01,test,qwk
53, 6.7519e-01,test,qwk
54, 6.7722e-01,test,qwk
55, 6.6307e-01,test,qwk
56, 6.5946e-01,test,qwk
