l1,e1,q1,bs1,lr1,l2,e2,q2,bs2,lr2
qwk,0,0.4122444829135271,8,0.01,log,5,0.5638837421243503,8,0.01
qwk,3,0.5931651634003983,8,0.001,log,4,0.5502551321882372,8,0.001
qwk,8,0.591837568124941,8,0.0005,log,2,0.555759866618627,8,0.0005
qwk,11,0.5953080037192051,8,0.0001,log,4,0.5603930023646102,8,0.0001
qwk,20,0.5879235127374518,8,1e-05,log,27,0.556044846496025,8,1e-05
qwk,1,0.5701450030883386,16,0.01,log,8,0.5553831851039541,16,0.01
qwk,5,0.6051650120871261,16,0.001,log,4,0.5501230455362043,16,0.001
qwk,7,0.6109567268597236,16,0.0005,log,2,0.5582696749583873,16,0.0005
qwk,7,0.6045096748949723,16,0.0001,log,9,0.5581267593195955,16,0.0001
qwk,14,0.5958858704482293,16,1e-05,log,28,0.5535913696458035,16,1e-05
qwk,0,0.5868299251769451,32,0.01,log,1,0.5598939164704069,32,0.01
qwk,2,0.604415196906463,32,0.001,log,3,0.56531495386511,32,0.001
qwk,2,0.608347436757019,32,0.0005,log,4,0.5520756597450663,32,0.0005
qwk,11,0.6033099954721894,32,0.0001,log,11,0.5623254779957882,32,0.0001
qwk,24,0.5977833994659992,32,1e-05,log,44,0.5451338541897748,32,1e-05
qwk,0,0.5867259967724558,64,0.01,log,7,0.5465361336654747,64,0.01
qwk,3,0.6049963634913349,64,0.001,log,5,0.5574301406852489,64,0.001
qwk,4,0.6025908395760962,64,0.0005,log,4,0.5591951509755797,64,0.0005
qwk,5,0.60014724191921,64,0.0001,log,8,0.5571384764040195,64,0.0001
qwk,38,0.5947925655413112,64,1e-05,log,30,0.5415770796321431,64,1e-05
qwk,2,0.591839847880282,128,0.01,log,4,0.5537571041107858,128,0.01
qwk,5,0.6022044824725208,128,0.001,log,2,0.559665335132455,128,0.001
qwk,4,0.6030114674484537,128,0.0005,log,8,0.5562929684013838,128,0.0005
qwk,7,0.5992290402911626,128,0.0001,log,18,0.5580881183482631,128,0.0001
qwk,48,0.5666135648605384,128,1e-05,log,45,0.5374403422724241,128,1e-05
qwk,6,0.5884869410562324,256,0.01,log,1,0.5553875628877981,256,0.01
qwk,3,0.6017781909906426,256,0.001,log,2,0.554797115712881,256,0.001
qwk,6,0.5981730440152915,256,0.0005,log,1,0.5550900439448164,256,0.0005
qwk,6,0.5920021717397312,256,0.0001,log,20,0.5606636784870118,256,0.0001
qwk,49,0.5886386435774769,256,1e-05,log,26,0.5153039759681133,256,1e-05
qwk,16,0.6007600996956367,512,0.01,log,1,0.555212983338531,512,0.01
qwk,5,0.6013502488719746,512,0.001,log,5,0.5480298337330425,512,0.001
qwk,3,0.5979137434189439,512,0.0005,log,9,0.5539162737634713,512,0.0005
qwk,15,0.598247709485916,512,0.0001,log,19,0.5483190307133439,512,0.0001
qwk,49,0.5633775268744188,512,1e-05,log,48,0.5226529792155361,512,1e-05
qwk,4,0.5938804295872415,1024,0.01,log,3,0.5492273981816154,1024,0.01
qwk,5,0.5915989844679174,1024,0.001,log,7,0.56101945337525,1024,0.001
qwk,5,0.5941739245505854,1024,0.0005,log,12,0.5542352417508539,1024,0.0005
qwk,21,0.5934400177854645,1024,0.0001,log,22,0.5472056211774061,1024,0.0001
qwk,49,0.47252144022735487,1024,1e-05,log,49,0.46984745586964594,1024,1e-05
